"feature_name","old_control_logFC","old_control_p","old_control_FDR","new_control_logFC","new_control_p","new_control_FDR","old_new_logFC","old_new_p","old_new_FDR","Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","blank_mean","sample_to_blank_ratio","number_detected","RT_flag","MSMS_flag","annotation_flag","old_significant","new_significant","age_significant","same_direction","fungal_age_category"
"F2053_mz222.1129_rt1.18",5.15246220246517,1.42346822578179e-05,0.0196682984185489,0.772799460155076,0.0496383236681173,0.107415628910035,4.54577111108488,5.25594331003062e-06,0.00360612239802014,2053,1.179,222.11288,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",453.87,21574.3333333333,150.442820504898,24,"RT >= 1 min","MS/MS available","Unknown",TRUE,FALSE,TRUE,TRUE,"Age-sensitive fungal effect"
"F4086_mz393.2866_rt2.14",0.526497249440067,0.249240811920826,0.357250412033073,-10.4812968046473,1.4078771322092e-06,0.00227885741898143,11.1738727735073,5.26954076671234e-06,0.00360612239802014,4086,2.14,393.28659,"Unknown","[M+H]+",NA,0.286,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",15392.28,4792.66666666667,9686.1029831027,22,"RT >= 1 min","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F4756_mz555.4051_rt3.42",NA,NA,NA,NA,NA,NA,6.03734866649064,3.34790621290578e-06,0.00360612239802014,4756,3.42,555.40509,"Unknown","[M+H]+","ion correlated with 4277",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",9.07,0,447754,6,"RT >= 1 min","MS/MS available","Unknown",FALSE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2331_mz244.264_rt2.03",-1.33063538067346,0.00175660432747997,0.0594885853589857,3.78824928208408,7.66552624575444e-06,0.00297373099685525,-4.95273809499666,1.02624115898205e-05,0.00469858467279562,2331,2.033,244.26398,"Unknown","[M+H]+",NA,0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",140.7,22708.6666666667,37.6727678374848,24,"RT >= 1 min","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1476_mz182.0814_rt0.52",-1.30810600406945,0.456210795667537,0.547115378102347,3.92362546072203,0.0585319535701989,0.121510262169289,-5.06561254265165,1.14432164461657e-05,0.00469858467279562,1476,0.518,182.08141,"Unknown","[M+H]+",NA,0.393,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",575.01,11555,1018.96659743856,24,"Early RT","MS/MS available","Unknown",FALSE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2330_mz244.2639_rt1.89",-1.61987122060019,0.00895374171989598,0.073079280440446,3.4445792504095,2.74857946335515e-05,0.00297373099685525,-4.89828668800165,4.05425161893362e-05,0.0104042232170884,2330,1.893,244.26393,"Unknown","[M+H]+","ion correlated with 2935",0.214,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",89.36,22272.3333333333,30.6050733313379,24,"RT >= 1 min","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2420_mz251.1605_rt0.4",0.441960365587535,0.0789566140153176,0.182808731837506,-2.84553676328222,1.14121529235489e-05,0.00297373099685525,3.45361387797775,3.13956368524325e-05,0.0104042232170884,2420,0.397,251.16052,"Unknown","[M+H]+",NA,0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",240.9,5197.66666666667,1565.92036419595,17,"Very early RT","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2934_mz288.29_rt1.99",-0.932405635044814,0.0390743958035705,0.118846922356973,2.76634311671252,2.64853861522685e-05,0.00297373099685525,-3.53257898079663,9.27837251544838e-05,0.0142579139927078,2934,1.992,288.29001,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",13.48,12622,18.8403707518023,24,"RT >= 1 min","MS/MS available","Unknown",FALSE,TRUE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1578_mz190.0502_rt1.03",5.79882748432766,4.33413363123598e-05,0.0196682984185489,0.837611603543845,0.00117999569190829,0.00933306697084254,5.1273212469412,0.000124071531194171,0.0159199283463521,1578,1.032,190.05022,"Unknown","[M+H]+","ion correlated with 650; ion correlated with 885",0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",1425.28,625.666666666667,6774.55372340426,20,"RT >= 1 min","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
"F636_mz124.0396_rt1.02",-1.92064990734978,0.000978337965728559,0.0475363011579493,0.427122710856229,0.0962280302060226,0.177015906456784,-2.18165284053867,0.000120409074920925,0.0159199283463521,636,1.025,124.03963,"Unknown","[M+H]+",NA,0.179,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",45.45,105861,16.4496136479568,24,"RT >= 1 min","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F1062_mz153.0408_rt0.75",2.12214686838796,0.000438164351287147,0.0457902816646201,-0.349751673510131,0.117525177605595,0.206647678671341,2.6380151367355,0.000143623239529931,0.0163810283752749,1062,0.749,153.04083,"Unknown","[M+H]+","similar chromatogram in higher mz_3448",0.429,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",157.68,14715,459.11518075564,19,"Early RT","MS/MS available","Unknown",TRUE,FALSE,TRUE,FALSE,"Age-sensitive fungal effect"
"F2247_mz237.1852_rt1.58",8.1034834100286,2.87349078076832e-05,0.0196682984185489,1.98722074432086,0.00406647638963279,0.0188180982418267,6.28208960686273,0.000223303222875797,0.0229220758282006,2247,1.584,237.18524,"Unknown","[M+H]+",NA,0.107,TRUE,"null","null","null","null",999,FALSE,FALSE,FALSE,"null","null","null","null","null",102.13,1426.33333333333,525.005604857543,18,"RT >= 1 min","MS/MS available","Unknown",TRUE,TRUE,TRUE,TRUE,"Age-sensitive fungal effect"
